learner,train_time,pred_time,f_test,f_train
XGBClassifier,20.433706045150757,0.565753698348999,0.7953599598356432,0.7968977137571032
GradientBoostingClassifier,19.222045183181763,0.3083200454711914,0.7927402795257336,0.792771284091851
PassiveAggressiveClassifier,0.2121257781982422,0.021519184112548828,0.7852775636490354,0.785627171261734
MLPClassifier,14.177856922149658,0.1602020263671875,0.7777196461813624,0.7799253159475996
BaggingClassifier,12.94044804573059,0.6427371501922607,0.7583376369220735,0.981371318074085
SGDClassifier,0.20752692222595215,0.021012067794799805,0.7516468225022724,0.7525361343028998
RandomForestClassifier,2.7839620113372803,0.501140832901001,0.7487850365510013,0.9831433336801092
AdaBoostClassifier,5.4793701171875,0.5735290050506592,0.7428111803740198,0.7432464145149287
DecisionTreeClassifier,1.862278938293457,0.053423166275024414,0.7226408276342028,0.9990795749309682
ExtraTreesClassifier,2.2874550819396973,0.5954060554504395,0.6978085351787774,0.9990795749309682
ExtraTreeClassifier,0.21488571166992188,0.06669282913208008,0.6674921357338867,0.9990795749309682
LogisticRegression,10.904484987258911,0.019338607788085938,0.5837671524525088,0.5858611490216789
RidgeClassifier,0.0698537826538086,0.023665904998779297,0.5776374442793462,0.5806463809062256
RidgeClassifierCV,0.3851630687713623,0.028671979904174805,0.5776374442793462,0.580617996837836
