learner,train_time,pred_time,f_test,f_train
XGBClassifier,44.60234498977661,0.987091064453125,0.7899458471977555,0.7899705460312665
GradientBoostingClassifier,45.24445199966431,0.6564590930938721,0.7879075242797816,0.7885125346821519
SGDClassifier,0.43495702743530273,0.049429893493652344,0.7868296174544683,0.7867874290413285
BaggingClassifier,23.640095949172974,1.2849581241607666,0.7624368384325002,0.9814719591288338
AdaBoostClassifier,10.40359091758728,1.0454609394073486,0.7425574400742392,0.7435412532425926
RandomForestClassifier,4.160557985305786,0.8899099826812744,0.7409361414763854,0.9818599558733266
DecisionTreeClassifier,3.337561845779419,0.10966205596923828,0.733987419720126,0.9992083227397409
ExtraTreesClassifier,4.4758992195129395,1.2050917148590088,0.6959472083977375,0.9992083227397409
MLPClassifier,211.6312210559845,2.1579782962799072,0.6826279036625339,0.6854649161832972
ExtraTreeClassifier,0.400115966796875,0.13294100761413574,0.6681569796323894,0.9992083227397409
LogisticRegression,21.444169282913208,0.047371864318847656,0.6000508087052249,0.6018765450912663
RidgeClassifier,0.15942811965942383,0.049382925033569336,0.5861240963547655,0.5886995385960471
RidgeClassifierCV,0.9685142040252686,0.055007219314575195,0.5860765313942201,0.5886889022670272
PassiveAggressiveClassifier,0.5067579746246338,0.04586982727050781,0.009947120489006627,0.00943313556395202
