learner,train_time,pred_time,f_test,f_train
XGBClassifier,31.619050979614258,0.8684091567993164,0.786923754526769,0.7885785812116209
GradientBoostingClassifier,36.8620171546936,0.48126983642578125,0.7820347134747828,0.7850701065823654
BaggingClassifier,22.184455156326294,1.0962917804718018,0.7580040041050488,0.9810547695755709
AdaBoostClassifier,10.378913640975952,1.0198109149932861,0.7408203415609966,0.7465453196015682
RandomForestClassifier,4.55417799949646,0.8609988689422607,0.7380111225679947,0.98139429422565
MLPClassifier,485.9354178905487,2.051999092102051,0.7363158924843424,0.7433077179844421
DecisionTreeClassifier,3.3321306705474854,0.08946609497070312,0.7310183043679376,0.9990371877061365
ExtraTreesClassifier,4.559558153152466,1.3361988067626953,0.6912211602125529,0.9990371877061365
ExtraTreeClassifier,0.42410707473754883,0.13684630393981934,0.6603288797533402,0.9990371877061365
LogisticRegression,5.903209924697876,0.013058900833129883,0.5701172870984191,0.5714906685565793
RidgeClassifierCV,0.550225019454956,0.009948968887329102,0.5562091837604652,0.5588621643291891
RidgeClassifier,0.10140514373779297,0.011245965957641602,0.5548922961472208,0.5582858377984824
SGDClassifier,0.4024319648742676,0.009678125381469727,0.3767293170919914,0.37531316934523873
PassiveAggressiveClassifier,0.4121060371398926,0.011204957962036133,0.027594838021378302,0.026487664935029395
